ThreadID,Thread Title,URL,Date,Number of Messages
TH00853,"God, Gays, & Gospel",https://groups.google.com./g/net.motss/c/XRlL60qsPOE,9/21/85,1
TH00852,See The Rainbow!,https://groups.google.com./g/net.motss/c/YNhbiRBIz48,9/21/85,1
TH00851,AIDS and Insurance,https://groups.google.com./g/net.motss/c/MXA8UVoa9qM,9/19/85,1
TH00850,Saved Gay Music Articles?,https://groups.google.com./g/net.motss/c/M1wlgThykr0,9/19/85,2
TH00849,Bisexuality and Committed Relationships,https://groups.google.com./g/net.motss/c/msvdeUq54U4,9/18/85,1
TH00848,Books for parents/family on coming out,https://groups.google.com./g/net.motss/c/m3AFkyWumyI,9/17/85,1
TH00847,Canada - Donors to be told if AIDS test positive,https://groups.google.com./g/net.motss/c/af36gIt3_E4,9/15/85,1
TH00846,Legal rights,https://groups.google.com./g/net.motss/c/4cG6wO2LKZk,9/15/85,2
TH00845,What are our legal rights?,https://groups.google.com./g/net.motss/c/BuNL2uybfzA,9/13/85,1
TH00844,Books on coming out to family,https://groups.google.com./g/net.motss/c/eA4e-wzJkrY,9/13/85,1
TH00843,"PBS will show ""Times of Harvey Milk""",https://groups.google.com./g/net.motss/c/EVh2Gqc9dE8,9/13/85,1
TH00842,Gay Community News (moderately long),https://groups.google.com./g/net.motss/c/xXEPA6fneGM,9/12/85,1
TH00841,Politics of AIDS - military testing,https://groups.google.com./g/net.motss/c/Dto2-30mKU8,9/12/85,1
TH00840,See The Rainbow!,https://groups.google.com./g/net.motss/c/VGnRGa4n4ro,9/10/85,1
TH00839,Christian Scientists fire lesbian employee: court rules,https://groups.google.com./g/net.motss/c/uTFuZQvdMOY,9/10/85,2
TH00838,good Art Hoppe today...,https://groups.google.com./g/net.motss/c/Ya-CebLBzrM,9/10/85,2
TH00837,NH foster care developments,https://groups.google.com./g/net.motss/c/smhIZnnXOsw,9/10/85,1
TH00836,In defense of Ray's stance on bisexuality.,https://groups.google.com./g/net.motss/c/VjkMQG-DNQM,9/8/85,1
TH00835,Personal Revelation about AIDS,https://groups.google.com./g/net.motss/c/fjV21T5IOmg,9/8/85,3
TH00834,Beware of Pure Love,https://groups.google.com./g/net.motss/c/QBdjxSAJIKI,9/5/85,1
TH00833,AT&T anti-discrimination policy,https://groups.google.com./g/net.motss/c/Jfe6jHrBgO8,9/5/85,1
TH00832,Bisexuality anyone?,https://groups.google.com./g/net.motss/c/tZdoDNSkP0U,9/4/85,17
TH00831,Gold war in the gay world (long but good),https://groups.google.com./g/net.motss/c/WZApGk-jwms,9/2/85,2
TH00830,Nomenclature - Gay/Homosexual/Lesbian,https://groups.google.com./g/net.motss/c/2VqCxuwfwj8,9/2/85,1
TH00829,Nomenclature - Gay/Homosexual/Lesbia,https://groups.google.com./g/net.motss/c/0msSHXzLHFs,9/2/85,13
TH00828,Gay-related issues in my daily life,https://groups.google.com./g/net.motss/c/qHEogBTxp2c,9/1/85,2
